source_hotel_id,hotel_name,standard_points,notes
aatcici,Conrad Altay Hemu,,
ajapelx,"Hotel and Spa Des Pecheurs, an SLH Hotel",,
auhptol,"The Mangroves Abu Dhabi, LXR Hotels & Resorts",,
avndmlx,"Domaine de Manville, an SLH Hotel",,
bcntwlx,"WITTMORE HOTEL, an SLH Hotel",,
berwslx,"Wilmina Apartments & Lofts, an SLH Hotel",,
bkigilx,"Gaya Island Resort, an SLH Hotel",,
blrolol,"The Den Bengaluru, LXR Hotels & Resorts",,
bzegrlx,"Gaia Riverlodge, an SLH Hotel",,
bzogrlx,"Goldene Rose Karthaus, an SLH Hotel",,
caglvlx,"La Villa del Re, an SLH Hotel",,
cfumnlx,"Nido - Mar-Bella Collection, an SLH Hotel",,
cfumoci,Conrad Corfu,,
cmbtrlx,"Tabula Rasa Resort & Spa, an SLH Hotel",,
cmfrtlx,"Refuge de la Traye, an SLH Hotel",,
crvpalx,"Praia Art Resort, an SLH Hotel",,
cunlzlx,"La Zebra, an SLH Hotel",,
cwlgnlx,"Grove of Narberth, an SLH Hotel",,
czmttlx,"TAGO Tulum, an SLH Hotel",,
dadnrlx,"Namia River Retreat, an SLH Hotel",,
denrrlx,"Rawah Ranch, an SLH Hotel",,
dijlclx,"Hotel Le Cep & Spa Marie de Bourgogne, an SLH Hotel",,
edighlx,"Greywalls Hotel and Chez Roux, an SLH Hotel",,
fcolblx,"Hotel Lord Byron, an SLH Hotel",,
fcopslx,"Palm Suite, an SLH Hotel",,
fdhhmlx,"Hubertus Mountain Refugio Allgau, an SLH Hotel",,
flrpvlx,"Palazzo Vecchietti, an SLH Hotel",,
goxbrlx,"Baale Resort Goa, an SLH Hotel",,
grxmhlx,"Maribel, an SLH Hotel",,
grxtllx,"El Lodge Ski and Spa, an SLH Hotel",,
gvaghlx,"Le Grand Bellevue, an SLH Hotel",,
hbaihlx,"Islington Hotel, an SLH Hotel",,
hghqvlx,"Qiushui Villa, an SLH Hotel",,
hndtslx,"The Tokyo Station Hotel, an SLH Hotel",,
ibzdflx,"Dunas de Formentera, an SLH Hotel",,
ibzhtlx,"Teranka, an SLH Hotel",,
innerlx,"eriro, an SLH Hotel",,
jdhbllx,"Brij Lakshman Sagar, an SLH Hotel",,
jmkahlx,"Archipelagos Hotel, an SLH Hotel",,
jmkcdlx,"Casa del Mar Mykonos, an SLH Hotel",,
jmkhdlx,"DeLight Boutique Hotel, an SLH Hotel",,
jmkmalx,"Mykonos Ammos Hotel, an SLH Hotel",,
jmkmrlx,"Mykonos Riviera Hotel and Spa, an SLH Hotel",,
jmkpelx,"Panoptis Escape, an SLH Hotel",,
jrswawa,Waldorf Astoria Jerusalem,,
jsyahlx,"Aristide Hotel, an SLH Hotel",,
kawwalx,"Wa Ale Resort, an SLH Hotel",,
kinthlx,"The Trident Hotel, an SLH Hotel",,
kulskci,Conrad Kuala Lumpur,,
kulwawa,Waldorf Astoria Kuala Lumpur,,
kwlyjlx,"Yangshuo Jora Hotel, an SLH Hotel",,
lirrswa,Waldorf Astoria Residences Costa Rica Punta Cacique,,
lisqclx,"Quinta Da Comporta - Wellness Boutique Resort, an SLH Hotel",,
lisvplx,"Verride Palàcio de Santa Catarina, an SLH Hotel",,
llaablx,"Arctic Bath, an SLH Hotel",,
loncoci,Conrad London St. James,,
mczkrlx,"Kenoa - Exclusive Beach Spa and Resort, an SLH Hotel",,
mgacalx,"Calala Island, an SLH Hotel",,
middmlx,"Decu Downtown, an SLH Hotel",,
mrultlx,"Heritage Le Telfair Golf & Wellness Resort, an SLH Hotel",,
msorrlx,"RiverView Ranch Retreat & Western Adventures, an SLH Hotel",,
mucmklx,"House of Hutter - Munchner Kindl, an SLH Hotel",,
mvvmmlx,"Le M de Megeve, an SLH Hotel",,
ncejulx,"Hotel Juana, an SLH Hotel",,
ngocici,Conrad Nagoya,,
nrtthlx,"TAKANAWA HANAKOHRO, an SLH Hotel",,
nycwawa,Waldorf Astoria New York,,
ogghowa,Ho'olei at Grand Wailea,,
olbphlx,"CPH Pevero Hotel, an SLH Hotel",,
oololol,Imperial Hotel Gold Coast,,
opowblx,"Wine & Books Porto Hotel, an SLH hotel",,
passslx,"Summer Senses Luxury Resort, an SLH Hotel",,
pastmlx,"Andronis Minois, an SLH Hotel",,
pdxsolx,"Sentinel, an SLH Hotel",,
penbwlx,"Bertam Wellness Spa and Villas, an SLH Hotel",,
persblx,"Smiths Beach Resort, an SLH Hotel",,
pptbnci,Conrad Bora Bora Nui,,
puyprlx,"Palazzo Rainis Hotel and Spa, an SLH Hotel",,
rbartwa,Waldorf Astoria Rabat Salé,,
rholblx,"Lindos Blu, an SLH Hotel",,
rholrlx,"The Landmark Rhodes Villas & Spa, an SLH Hotel",,
sancnol,"Beach Village at The Del, LXR Hotels & Resorts",,
sanrhol,"Shore House at The Del, LXR Hotels & Resorts",,
sircalx,"Crans Ambassador, an SLH Hotel",,
skgevlx,"Eagles Villas, an SLH Hotel",,
smiphlx,"The Petra, an SLH Hotel",,
ssabhlx,"Barracuda Hotel and Villas, an SLH Hotel",,
szgghlx,"Grossarler Hof, an SLH Hotel",,
tgmbelx,"Bethlen Estates Transylvania, an SLH Hotel",,
tllpmlx,"Pädaste Manor, an SLH Hotel",,
tvurrlx,"Raiwasa Private Resort, an SLH Hotel",,
zihqclx,"La Casa Que Canta, an SLH Hotel",,
znzazlx,"Amani Boutique Hotel Zanzibar, an SLH Hotel",,
zrhkslx,"Kristiania Lech, an SLH Hotel",,
zrhvhlx,"Valsana Hotel Arosa, an SLH Hotel",,
